wals code	name	value	description	latitude	longitude	genus	family	area
haw	Hawaiian	1	Small	19.5833333333	-155.5	Oceanic	Austronesian	Phonology
hba	Hebrew (Modern Ashkenazic)	2	Moderately small	31.75	35.1666666667	Semitic	Afro-Asiatic	Phonology
hix	Hixkaryana	2	Moderately small	-1.0	-59.0	Cariban	Cariban	Phonology
hum	Huitoto (Murui)	2	Moderately small	-1.0	-73.5	Witoto	Witotoan	Phonology
ika	Ika	2	Moderately small	10.6666666667	-73.75	Arhuacic	Chibchan	Phonology
imo	Imonda	1	Small	-3.33333333333	141.166666667	Border	Border	Phonology
irr	Irarutu	1	Small	-3.0	133.5	South Halmahera - West New Guinea	Austronesian	Phonology
iwm	Iwam	1	Small	-4.33333333333	142.0	Iwamic	Sepik	Phonology
jpn	Japanese	2	Moderately small	37.0	140.0	Japanese	Japanese	Phonology
jpr	Japreria	1	Small	10.5	-73.0	Cariban	Cariban	Phonology
jiv	Jivaro	2	Moderately small	-2.5	-78.0	Jivaroan	Jivaroan	Phonology
jom	Jomang	1	Small	10.5833333333	30.5	Talodi	Kordofanian	Phonology
kng	Kaingang	1	Small	-26.0	-52.0	Je Meridional	Macro-Ge	Phonology
kly	Kala Lagaw Ya	2	Moderately small	-10.1166666667	142.116666667	Northern Pama-Nyungan	Pama-Nyungan	Phonology
krk	Karok	2	Moderately small	41.6666666667	-123.0	Karok	Hokan	Phonology
kay	Kayardild	2	Moderately small	-17.05	139.5	Tangkic	Tangkic	Phonology
ked	Kedang	2	Moderately small	-8.25	123.75	Central Malayo-Polynesian	Austronesian	Phonology
ket	Ket	2	Moderately small	64.0	87.0	Yeniseian	Yeniseian	Phonology
kew	Kewa	2	Moderately small	-6.5	143.833333333	Enga_Kewa-Huli	Trans-New Guinea	Phonology
kty	Khanty	2	Moderately small	65.0	65.0	Ugric	Uralic	Phonology
krb	Kiribati	1	Small	1.33333333333	173.0	Oceanic	Austronesian	Phonology
kss	Kisi (Southern)	2	Moderately small	8.5	-10.25	Southern Mel	Niger-Congo	Phonology
kiw	Kiwai (Southern)	1	Small	-8.0	143.5	Kiwaian	Trans-New Guinea	Phonology
kla	Klao	1	Small	4.75	-8.75	Kru	Niger-Congo	Phonology
koa	Koasati	1	Small	34.8333333333	-85.1666666667	Muskogean	Muskogean	Phonology
koi	Koiari	1	Small	-9.5	147.333333333	Koiarian	Trans-New Guinea	Phonology
kfe	Koromfe	2	Moderately small	14.25	-0.916666666667	Koromfe	Niger-Congo	Phonology
kry	Koryak	2	Moderately small	61.0	167.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Phonology
kch	Koyra Chiini	2	Moderately small	17.0	-3.0	Songhay	Songhay	Phonology
kse	Koyraboro Senni	2	Moderately small	16.0	0.0	Songhay	Songhay	Phonology
kya	Kuku-Yalanji	1	Small	-16.0	145.0	Northern Pama-Nyungan	Pama-Nyungan	Phonology
kun	Kuna	2	Moderately small	8.0	-77.3333333333	Kuna	Chibchan	Phonology
kmp	Kunimaipa	2	Moderately small	-8.0	146.833333333	Core Goilalan	Trans-New Guinea	Phonology
kwa	Kwaio	2	Moderately small	-8.95	161.0	Oceanic	Austronesian	Phonology
lan	Lango	2	Moderately small	2.16666666667	33.0	Western Nilotic	Eastern Sudanic	Phonology
lav	Lavukaleve	2	Moderately small	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Phonology
len	Lenakel	2	Moderately small	-19.45	169.25	Oceanic	Austronesian	Phonology
kkv	Lusi	2	Moderately small	-5.58333333333	149.666666667	Oceanic	Austronesian	Phonology
luv	Luvale	2	Moderately small	-12.0	22.0	Bantu	Niger-Congo	Phonology
mya	Ma'ya	1	Small	-1.25	130.916666667	South Halmahera - West New Guinea	Austronesian	Phonology
mne	Maidu (Northeast)	2	Moderately small	40.0	-120.666666667	Maiduan	Penutian	Phonology
mlk	Malakmalak	1	Small	-13.4166666667	130.416666667	Northern Daly	Northern Daly	Phonology
mnc	Manchu	2	Moderately small	49.5	127.5	Tungusic	Altaic	Phonology
myi	Mangarrayi	2	Moderately small	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Phonology
mao	Maori	1	Small	-40.0	176.0	Oceanic	Austronesian	Phonology
mrn	Maranao	1	Small	7.83333333333	124.25	Greater Central Philippine	Austronesian	Phonology
mku	Maranungku	1	Small	-13.6666666667	130.0	Wagaydy	Western Daly	Phonology
mrd	Marind	2	Moderately small	-7.83333333333	140.166666667	Marind-Yaqay	Trans-New Guinea	Phonology
mau	Maung	2	Moderately small	-11.9166666667	133.5	Iwaidjan	Iwaidjan	Phonology
max	Maxakalí	1	Small	-18.0	-40.0	Maxakalian	Macro-Ge	Phonology
may	Maybrat	1	Small	-1.33333333333	132.5	Maybrat	Maybrat	Phonology
mss	Miwok (Southern Sierra)	2	Moderately small	37.5	-120.0	Miwok	Penutian	Phonology
mtp	Mixe (Totontepec)	1	Small	17.25	-96.0	Mixe-Zoque	Mixe-Zoque	Phonology
mxc	Mixtec (Chalcatongo)	2	Moderately small	17.05	-97.5833333333	Mixtec	Oto-Manguean	Phonology
mxm	Mixtec (Molinos)	2	Moderately small	17.0	-97.5833333333	Mixtec	Oto-Manguean	Phonology
mor	Mor	1	Small	-2.95	135.75	South Halmahera - West New Guinea	Austronesian	Phonology
mov	Movima	2	Moderately small	-13.8333333333	-65.6666666667	Movima	Movima	Phonology
nhn	Nahuatl (North Puebla)	2	Moderately small	20.0	-98.25	Aztecan	Uto-Aztecan	Phonology
nht	Nahuatl (Tetelcingo)	2	Moderately small	19.6666666667	-99.0	Aztecan	Uto-Aztecan	Phonology
nai	Nanai	2	Moderately small	49.5	137.0	Tungusic	Altaic	Phonology
nnc	Nancowry	2	Moderately small	8.05	93.5	Nicobarese	Austro-Asiatic	Phonology
	Nandi	1	Small	0.25	35.0	Eastern Nilotic	Eastern Sudanic	Phonology
nas	Nasioi	1	Small	-6.33333333333	155.583333333	South Bougainville	South Bougainville	Phonology
ndy	Ndyuka	2	Moderately small	4.5	-54.5	Creoles and Pidgins	other	Phonology
nim	Nimboran	1	Small	-2.5	140.166666667	Nimboran	Nimboran	Phonology
nob	Nobiin	2	Moderately small	21.0	31.0	Nubian	Eastern Sudanic	Phonology
nyg	Nyangi	2	Moderately small	3.41666666667	33.5833333333	Kuliak	Eastern Sudanic	Phonology
