язык,семья,ареал,p,t,k,b,d,g,сколько взрывных фонем,литература,комментарии
Guayabero,Guahiban,South America,1,1,1,1,1,0,5,,
Gugadj,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Gumatj,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Gunya,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Gupapuyngu,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Gureng Gureng,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Gurindji,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Gurr-goni,Maningrida,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Guugu Yimidhirr,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Hawaiian,Austronesian,Papunesia,1,0,1,0,0,0,2,,
Hixkaryána,Carib,South America,1,1,1,1,1,0,5,,
Hopi,Uto-Aztecan,North America,1,1,1,0,0,0,3,,
Hoti,Isolate,South America,0,1,1,1,1,0,4,,
Huallaga Huánuco Quechua,Quechua,South America,1,1,1,0,0,0,3,,
Huambisa,Jivaroan,South America,1,1,1,0,0,0,3,,
Huarijio,Uto-Aztecan,North America,1,1,1,0,0,0,3,,
Huaylas-Conchucos Quechua,Quechua,South America,1,1,1,0,0,0,3,,
Huichol,Uto-Aztecan,North America,1,1,1,0,0,0,3,not t -- but t̪,
Huitoto Mirui,Witotoan,South America,0,1,1,1,1,1,5,,
I'saka,Sko,Papunesia,1,1,1,1,1,0,5,,
Iau,Lakes Plain,Papunesia,0,1,1,1,1,0,4,,
Ignaciano,Arawak,South America,1,1,1,1,1,0,5,,
Ikpeng,Carib,South America,1,1,1,0,0,1,4,,
Ilocano,Austronesian,Papunesia,1,0,1,1,0,1,4,,
Imbabura Quichua,Quechua,South America,1,1,1,0,0,0,3,,
Imonda,Border,Papunesia,1,1,1,1,1,1,6,,
Iñapari,Arawak,South America,1,1,0,0,0,0,2,,
Indonesian,Austronesian,Papunesia,1,0,1,1,1,1,5,,
Indonesian Bajau,Austronesian,Papunesia,1,0,1,1,0,1,4,,
Ingarikó,Carib,South America,1,1,1,0,0,0,3,,
Iquito,Zaparoan,South America,1,1,1,0,0,0,3,,
Irántxe,Isolate,South America,1,1,1,0,0,0,3,,
Irarutu,Austronesian,Papunesia,0,1,1,0,0,0,2,,
Itbayat,Austronesian,Papunesia,1,0,1,1,1,1,5,,
Itonama,Macro-Ge,South America,1,1,1,1,1,0,5,,
Iwaidja,Iwaidjan Proper,Australia,1,1,1,0,0,0,3,,
Iwam,Sepik,Papunesia,1,1,1,0,0,0,3,,
Jabutí,Macro-Ge,South America,1,1,1,0,0,0,3,,
Jamamadí,Arawan,South America,0,1,1,1,1,0,4,,
Jaminjung,Mirndi,Australia,1,1,1,0,0,0,3,,
Japreria,Carib,South America,1,1,1,0,0,0,3,,
Jaqaru,Aymaran,South America,1,1,1,0,0,0,3,,
Jarawara,Arawan,South America,0,1,1,1,0,0,3,,
Jauja-Huanca Quechua,Quechua,South America,1,1,1,0,0,0,3,,
Javanese,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Júma,Tupí,South America,1,1,1,0,0,1,4,,
Jurúna,Tupí,South America,1,1,1,1,1,0,5,,
Kaapor,Tupí,South America,1,1,1,0,0,0,3,,
Kaingang,Macro-Ge,South America,1,1,1,0,0,0,3,,
Kaiwá,Tupí,South America,1,1,1,0,0,0,3,,
Kaliai,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Kalkatungu,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Kallawaya,,South America,1,1,1,0,0,0,3,,
Kamayurá,Tupí,South America,1,1,1,0,0,0,3,,
Kambera,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Kanoé,Isolate,South America,1,1,1,0,0,0,3,,
Karadjeri,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Karajá,Macro-Ge,South America,0,0,1,1,1,0,3,,
Kariera,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Karitiâna,Tupí,South America,1,1,1,0,0,0,3,,
Karo,Tupí,South America,1,1,1,1,0,1,5,,
Katukína,Katukinan,South America,1,1,1,1,1,0,5,,
Kaurna,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Kawaiisu,Uto-Aztecan,North America,1,0,1,1,0,0,3,,
Kawesqar,Alacalufan,South America,1,1,1,0,0,0,3,,
Kaxararí,Panoan,South America,1,1,1,0,0,0,3,,
Kaxuiâna,Carib,South America,1,1,1,0,0,0,3,,
Kayabí,Tupí,South America,1,1,1,0,0,1,4,,
Kayardild,Tangkic,Australia,1,1,1,0,0,0,3,,
Kaytej,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Kedayan,Austronesian,Papunesia,1,0,1,1,1,1,5,,
Ket,Yeniseian,Eurasia,0,1,1,1,1,0,4,,
Kinikinao,Arawak,South America,1,1,1,0,0,0,3,,
Kithaulhu,Nambiquaran,South America,1,1,1,0,0,0,3,,
Kitja,Jarrakan,Australia,1,1,1,0,0,0,3,,
Koiari,Koiarian,Papunesia,0,1,1,1,1,1,5,,
Kokama-Kokamilla,Tupí,South America,1,1,1,0,0,0,3,,
Koreguaje,Tucanoan,South America,1,1,1,0,0,0,3,,
Korubo,Panoan,South America,1,1,1,0,0,0,3,,
Krahô,Macro-Ge,South America,1,1,1,0,0,0,3,,
Krinkati-Timbira,Macro-Ge,South America,1,1,1,0,0,0,3,,
Kubeo,Tucanoan,South America,1,1,1,1,1,0,5,,
Kuikúro-Kalapálo,Carib,South America,1,1,1,0,1,0,4,,д палатализованный
Kuku-Yalanji,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Kulina,Arawan,South America,1,1,1,1,1,0,5,,
Kunjen,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Kunza,Isolate,South America,1,1,1,1,0,0,4,,
Kuruáya,Tupí,South America,1,1,1,1,1,0,5,,
Kuuku Ya'u,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Kwaio,Austronesian,Papunesia,0,1,0,0,0,0,1,,
Kwoma,Sepik,Papunesia,0,1,1,0,0,0,2,,"+kʷ (только mb, nd, ŋɡ)"
Lamu-Lamu,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Laragia,Isolate,Australia,1,1,1,0,0,0,3,,
Lardil,Tangkic,Australia,1,1,1,0,0,0,3,,
Latunde,Nambiquaran,South America,1,1,1,0,0,0,3,,
Lavukaleve,Isolate,Papunesia,0,1,0,1,1,0,3,,
Leco,Isolate,South America,1,1,1,1,1,0,5,,
Lenakel,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Leti,Austronesian,Papunesia,1,1,1,0,1,0,4,,
Limilngan,Limilngan-Wulna,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Linngithig,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Lokono,Arawak,South America,1,1,1,1,1,0,5,,
Loniu,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Luiseno,Uto-Aztecan,North America,1,1,1,0,0,0,3,,
Lule,Isolate,South America,1,1,1,0,0,0,3,,
Lusi,Austronesian,Papunesia,1,0,1,0,0,0,2,,
Macaguán,Guahiban,South America,1,1,1,1,0,0,4,,
Macuna,Tucanoan,South America,0,1,1,1,1,1,5,,
Macushi,Carib,South America,1,1,1,0,0,0,3,,
Madimadi,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Madurese,Austronesian,Papunesia,1,1,1,1,1,1,6,t̪  d̪  ʈ  ɖ,
Mafea,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Maka,Mataco,South America,1,1,1,0,0,0,3,,
Mako,Salivan,South America,1,1,1,1,1,0,5,,
Makuráp,Tupí,South America,1,1,1,0,0,0,3,,
Mamaindé,Nambiquaran,South America,1,1,1,0,0,0,3,,
Manchinere,Arawak,South America,1,1,1,0,0,0,3,,
Mandan,Siouan,North America,1,1,1,0,0,0,3,,
Mangarrayi,Mangarrayi-Maran,Australia,1,1,1,0,0,0,3,,
Mantjiltjara,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Maori,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Mapoyo,Carib,South America,1,1,1,0,0,0,3,,
Mapudungun,Araucanian,South America,1,1,1,0,0,0,3,,
